"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.709463900E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.217016000E-2,9.989738464E-4,1.040649414E-2,-3.031778336E-2
6.724568100E-2,-4.372119904E-3,-1.142501831E-3,-4.825019836E-2
7.232120200E-2,1.983511448E-2,2.297878265E-2,-5.394077301E-2
7.738120200E-2,-9.167194366E-3,4.298686981E-3,-7.237434387E-2
8.246953500E-2,4.412722588E-2,-2.923011780E-4,-4.168558121E-2
8.755203500E-2,1.736128330E-2,-3.432273865E-3,2.579164505E-2
9.263458700E-2,-1.599037647E-2,2.146148682E-2,4.513072968E-2
9.771708700E-2,-4.370188713E-2,1.446390152E-2,-7.562160492E-3
1.027995870E-1,-1.747894287E-2,3.467321396E-2,-3.399562836E-2
1.078638060E-1,-6.121575832E-2,2.540111542E-2,2.845001221E-2
1.129429730E-1,-5.341351032E-2,4.366731644E-2,5.061626434E-2
1.180220870E-1,-5.091714859E-2,2.333498001E-2,7.800245285E-2
1.231012540E-1,-5.319178104E-2,-1.535987854E-2,8.608722687E-2
1.281743270E-1,-4.194200039E-2,-6.783485413E-3,1.589331627E-1
1.332522430E-1,-8.299410343E-2,-4.366827011E-2,1.538858414E-1
1.383301080E-1,-1.941069365E-1,-1.936149597E-1,2.039365768E-1
1.434080770E-1,-3.466010094E-3,-3.737831116E-2,3.198790550E-1
1.484955770E-1,1.049381495E-1,1.012692451E-1,3.039364815E-1
1.535754730E-1,-6.682729721E-2,-3.347301483E-2,3.243575096E-1
1.586553160E-1,-5.964791775E-2,-1.098718643E-1,2.172789574E-1
1.637351600E-1,-3.914403915E-2,-1.028790474E-1,2.435026169E-1
1.687878160E-1,-1.014506817E-2,-1.170692444E-1,2.761001587E-1
1.738621910E-1,3.181600571E-2,-1.034851074E-1,2.874684334E-1
1.789365660E-1,2.178180218E-2,-1.183404922E-1,2.760739326E-1
1.840109410E-1,5.175614357E-2,-1.007542610E-1,2.935109138E-1
1.890981290E-1,5.330288410E-2,-1.210122108E-1,2.394447327E-1
1.941750560E-1,3.445661068E-2,-1.131377220E-1,2.433266640E-1
1.992520350E-1,3.497552872E-2,-8.952951431E-2,2.220330238E-1
2.043290140E-1,7.813930511E-3,-5.060577393E-2,2.017388344E-1
2.094048480E-1,-5.775094032E-2,-1.530647278E-2,2.148098946E-1
2.144815660E-1,-9.567940235E-2,-1.145076752E-2,2.232408524E-1
2.195582850E-1,-1.117688417E-1,1.384735107E-3,2.085499763E-1
2.246350560E-1,-1.324717999E-1,3.930091858E-2,1.666069031E-1
2.297118790E-1,-1.317900419E-1,4.581737518E-2,1.842679977E-1
2.347885980E-1,-1.429834366E-1,4.733800888E-2,1.807885170E-1
2.398653680E-1,-1.308882236E-1,3.703546524E-2,1.729812622E-1
2.449421390E-1,-1.380413771E-1,3.626680374E-2,1.655478477E-1
2.500208370E-1,-1.452848911E-1,6.564617157E-2,1.142539978E-1
2.550979730E-1,-1.245404482E-1,8.496379852E-2,3.861761093E-2
2.601751080E-1,-1.042891741E-1,7.570552826E-2,-1.398229599E-2
2.652522430E-1,-5.892372131E-2,6.877994537E-2,-6.275653839E-2
2.703291700E-1,-4.724180698E-2,8.315372467E-2,-1.338248253E-1
2.754062540E-1,-3.086471558E-2,4.126071930E-2,-1.753664017E-1
2.804833370E-1,-2.874100208E-2,3.351402283E-2,-1.765942574E-1
2.855604200E-1,-4.526293278E-2,4.039573669E-2,-1.477437019E-1
2.906361500E-1,-4.017591476E-2,6.614303589E-2,-1.056876183E-1
2.957129730E-1,1.181936264E-2,1.887750626E-2,-8.348798752E-2
3.007897950E-1,8.943438530E-3,-3.742218018E-3,-5.489397049E-2
3.058665660E-1,3.975152969E-3,-4.476070404E-3,-2.478837967E-2
3.109653160E-1,-3.137564659E-2,2.308082581E-2,4.221487045E-2
3.160465660E-1,-3.786611557E-2,2.438163757E-2,7.025098801E-2
3.211278160E-1,-4.432499409E-2,-1.554489136E-4,1.071352959E-1
3.262090660E-1,-5.331897736E-2,6.398200989E-3,1.526327133E-1
3.312479730E-1,-4.591727257E-2,1.513671875E-2,1.996979713E-1
3.363206810E-1,-5.302107334E-2,2.568721771E-3,1.988515854E-1
3.413933890E-1,-3.458416462E-2,-1.674699783E-2,1.578617096E-1
3.464660980E-1,-4.271876812E-2,-9.546279907E-3,1.407971382E-1
3.515594830E-1,-2.975821495E-2,2.119159698E-2,1.757035255E-1
3.566363580E-1,-4.521286488E-2,1.599740982E-2,1.607236862E-1
3.617132330E-1,-7.201147079E-2,3.889322281E-2,1.298604012E-1
3.667901080E-1,-3.254508972E-2,3.757858276E-2,1.044754982E-1
3.718723480E-1,-3.605389595E-2,4.302406311E-2,1.199536324E-1
3.769503160E-1,-4.170584679E-2,5.277490616E-2,1.167240143E-1
3.820282850E-1,-3.297114372E-2,6.670618057E-2,1.045622826E-1
3.871062020E-1,-3.829324245E-2,3.998279572E-2,5.290508270E-2
3.921812540E-1,-1.734805107E-2,5.132722855E-2,2.188682556E-3
3.972590660E-1,-3.436887264E-2,3.175401688E-2,-2.171325684E-2
4.023368790E-1,-8.439779282E-3,4.801321030E-2,-1.937007904E-2
4.074146910E-1,1.246535778E-2,3.117275238E-2,1.674175262E-3
4.125019310E-1,2.384173870E-2,1.940965652E-2,-4.139375687E-2
4.175802120E-1,1.405847073E-2,3.152990341E-2,-3.900861740E-2
4.226584930E-1,-2.377581596E-2,3.658962250E-2,-4.624843597E-2
4.277368270E-1,-5.397820473E-2,1.570940018E-2,-3.873825073E-3
4.327943790E-1,-7.204747200E-2,1.416301727E-2,2.123165131E-2
4.378716180E-1,-9.940063953E-2,4.574775696E-2,5.307722092E-2
4.429489100E-1,-1.408734322E-1,4.149484634E-2,1.222448349E-1
4.480262020E-1,-1.232033968E-1,2.776098251E-2,1.763052940E-1
4.530863580E-1,-9.428858757E-2,4.478979111E-2,1.895651817E-1
4.581627640E-1,-8.027803898E-2,-1.652574539E-2,1.908426285E-1
4.632391700E-1,-5.018103123E-2,-1.560258865E-2,1.897187233E-1
4.683155770E-1,6.170272827E-4,-2.432918549E-2,1.769084930E-1
4.734151600E-1,-2.268683910E-2,-2.119016647E-2,1.477451324E-1
