"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.949868820E-1,6.356124290E1,2.704547910E1,9.182275702E1,NaN,NaN,3.209899902E1,2.980477571E0
1.903588384E0,6.356124290E1,2.704547910E1,9.182275702E1,NaN,NaN,3.379019928E1,3.403277636E0
3.073187915E0,6.356127608E1,2.704540863E1,8.761473345E1,0.000000000E0,NaN,9.509681702E0,1.272113609E1
3.959165727E0,6.356127739E1,2.704540776E1,8.776066894E1,0.000000000E0,NaN,1.038174629E1,1.272113609E1
4.959887237E0,6.356129468E1,2.704543239E1,8.994463749E1,0.000000000E0,NaN,5.622642040E0,6.697165012E0
5.961789841E0,6.356134114E1,2.704546540E1,8.955494845E1,2.800000012E-1,1.943999939E2,6.907505512E0,8.908366203E0
6.959669424E0,6.356134079E1,2.704548763E1,9.191572889E1,3.100000024E-1,1.943999939E2,7.652901173E0,9.944727898E0
7.960929684E0,6.356131946E1,2.704552031E1,9.201923893E1,3.600000143E-1,1.943999939E2,8.876622200E0,1.076181126E1
8.964978382E0,6.356130688E1,2.704547937E1,1.009211474E2,4.099999964E-1,1.943999939E2,8.073823929E0,1.540666294E1
9.961301506E0,6.356128346E1,2.704549613E1,8.571551226E1,0.000000000E0,NaN,5.721007824E0,7.552900314E0
1.096166427E1,6.356138081E1,2.704548813E1,9.492648646E1,0.000000000E0,NaN,6.024964333E0,8.112447739E0
1.195927322E1,6.356140136E1,2.704543377E1,9.904697342E1,5.099999905E-1,1.943999939E2,5.382595062E0,7.173562527E0
1.296383203E1,6.356147408E1,2.704531421E1,9.568114709E1,9.100000262E-1,3.231000061E2,6.224517822E0,8.429821014E0
1.359490875E1,6.356144264E1,2.704536711E1,9.533561922E1,8.899999857E-1,3.197999878E2,4.617253780E0,5.772698879E0
1.459038854E1,6.356142864E1,2.704537188E1,9.511002829E1,8.100000024E-1,3.193999939E2,3.990564823E0,4.563747406E0
1.558977619E1,6.356143526E1,2.704538225E1,9.718241935E1,9.100000262E-1,3.196000061E2,3.790092468E0,4.083817005E0
1.659087671E1,6.356144584E1,2.704538047E1,9.818980851E1,1.220000029E0,3.346000061E2,3.790092468E0,3.440775633E0
1.758997426E1,6.356145042E1,2.704537694E1,9.850798626E1,8.500000238E-1,3.295000000E2,3.790092468E0,2.904445887E0
1.858914937E1,6.356145577E1,2.704536817E1,9.875121271E1,9.399999976E-1,3.287000122E2,3.790092468E0,2.828853607E0
1.959118234E1,6.356145996E1,2.704535624E1,9.811760742E1,9.700000286E-1,3.236000061E2,3.790092468E0,2.502608299E0
2.058993254E1,6.356146199E1,2.704534568E1,9.746019769E1,9.100000262E-1,3.236000061E2,3.790092468E0,2.500000000E0
2.158925452E1,6.356146239E1,2.704533652E1,9.665673032E1,8.299999833E-1,3.188999939E2,3.790092468E0,2.500000000E0
2.258943484E1,6.356146270E1,2.704532335E1,9.650145595E1,8.199999928E-1,3.076000061E2,3.790092468E0,2.500000000E0
2.359118499E1,6.356146459E1,2.704530977E1,9.635368949E1,8.700000048E-1,3.125000000E2,3.790092468E0,2.500000000E0
2.458912197E1,6.356146655E1,2.704529729E1,9.588469511E1,7.500000000E-1,3.147000122E2,3.790092468E0,2.500000000E0
2.559009041E1,6.356146719E1,2.704528534E1,9.561778767E1,7.799999714E-1,3.052999878E2,3.790092468E0,2.500000000E0
2.659048202E1,6.356146742E1,2.704527177E1,9.513615826E1,8.100000024E-1,3.080000000E2,3.790092468E0,2.500000000E0
2.758942551E1,6.356146863E1,2.704525817E1,9.473448528E1,8.100000024E-1,3.122000122E2,3.790092468E0,2.500000000E0
2.859114640E1,6.356147083E1,2.704524383E1,9.486619885E1,7.799999714E-1,3.065000000E2,3.790092468E0,2.500000000E0
2.959056166E1,6.356147281E1,2.704522812E1,9.465562708E1,8.500000238E-1,3.043999939E2,3.790092468E0,2.500000000E0
3.058979051E1,6.356147588E1,2.704521446E1,9.485161106E1,7.900000215E-1,3.112000122E2,3.790092468E0,2.500000000E0
3.159049395E1,6.356147974E1,2.704520122E1,9.492619645E1,7.599999905E-1,3.137999878E2,3.790092468E0,2.500000000E0
3.259048421E1,6.356148366E1,2.704518710E1,9.509898735E1,8.100000024E-1,3.082000122E2,3.790092468E0,2.500000000E0
3.359110405E1,6.356148771E1,2.704517218E1,9.478026214E1,8.299999833E-1,3.071000061E2,3.790092468E0,2.500000000E0
3.458920233E1,6.356149139E1,2.704515750E1,9.435405389E1,8.899999857E-1,3.051000061E2,3.790092468E0,2.500000000E0
3.558924186E1,6.356149519E1,2.704513928E1,9.448051874E1,1.009999990E0,2.962000122E2,3.790092468E0,2.500000000E0
3.659372301E1,6.356149785E1,2.704512176E1,9.415373614E1,8.999999762E-1,2.982000122E2,3.790092468E0,2.500000000E0
